"","TraitName","AccSpeciesName","OrigValueStr","OrigUnitStr","StdValue","UnitName"
"36534","","Maytenus guyanensis","-52.2036","",-52.2036,""
"36535","","Maytenus guyanensis","187","m",187,"m"
"36536","","Maytenus guyanensis","3850","mm",NA,""
"36537","","Maytenus guyanensis","1","ha",NA,""
"36538","","Maytenus guyanensis","Migmatite","",NA,""
"36539","","Maytenus guyanensis","257","",NA,""
"36540","","Maytenus guyanensis","88","",NA,""
"36541","","Maytenus guyanensis","73","",NA,""
"36542","","Maytenus guyanensis","395","",NA,""
"36543","","Maytenus guyanensis","322","",NA,""
"36544","","Maytenus guyanensis","203","",NA,""
"36545","","Maytenus guyanensis","119","",NA,""
"36546","","Maytenus guyanensis","256","",NA,""
"36547","","Maytenus guyanensis","0","",NA,""
"36548","","Maytenus guyanensis","262","",NA,""
"36549","","Maytenus guyanensis","252","",NA,""
"36550","","Maytenus guyanensis","548","mm",NA,""
"36551","","Maytenus guyanensis","88","mm",NA,""
"36552","","Maytenus guyanensis","47","mm",NA,""
"36553","","Maytenus guyanensis","1360","mm",NA,""
"36554","","Maytenus guyanensis","330","mm",NA,""
"36555","","Maytenus guyanensis","353","mm",NA,""
"36556","","Maytenus guyanensis","1123","mm",NA,""
"36557","","Maytenus guyanensis","8/22/12 8:32","",NA,""
"36558","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36559","","Maytenus guyanensis","Evergreen lowland tropical forest on a terra firme plateau bluff above Mataroni Creek near the  ...","",NA,""
"36560","","Maytenus guyanensis","C Baraloto with J Engel, J Chave, CET Paine","",NA,""
"36561","","Maytenus guyanensis","617","",NA,""
"36562","","Maytenus guyanensis","224","",NA,""
"36563","","Maytenus guyanensis","Celastraceae","",NA,""
"36564","","Maytenus guyanensis","LV109282","",NA,""
"36565","","Maytenus guyanensis","4","",NA,""
"36566","","Maytenus guyanensis","OK","",NA,""
"36567","","Maytenus guyanensis","C","",NA,""
"36568","","Maytenus guyanensis","2","",NA,""
"36569","","Maytenus guyanensis","2","",NA,""
"36570","","Maytenus guyanensis","1","",NA,""
"36571","Leaf chlorophyll content per leaf area","Maytenus guyanensis","49.9","mg/m2",0.0499,"g m-2"
"36572","Leaf texture (sclerophylly, physical strength)","Maytenus guyanensis","1.04","N",NA,""
"36573","","Maytenus guyanensis","Claire Suchet","",NA,""
"36574","Leaf area per leaf dry mass (specific leaf area, SLA)","Maytenus guyanensis","14.5897235","mm2ámg-1",14.5897235,"mm2 mg-1"
"36575","","Maytenus guyanensis","LV1","",NA,""
"36576","","Maytenus guyanensis","157","m",NA,""
"36577","","Maytenus guyanensis","49.1","m",NA,""
"36578","","Maytenus guyanensis","931","",NA,""
"36579","","Maytenus guyanensis","Liesner","",NA,""
"36580","","Maytenus guyanensis","Sterile","",NA,""
"36581","","Maytenus guyanensis","CAY","",NA,""
"36582","","Maytenus guyanensis","40219.54598","",NA,""
"36583","","Maytenus guyanensis","JE","",NA,""
"36584","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36585","","Maytenus guyanensis","4.15093","",4.15093,""
"36586","","Maytenus guyanensis","-52.2036","",-52.2036,""
"36587","","Maytenus guyanensis","187","m",187,"m"
"36588","","Maytenus guyanensis","3850","mm",NA,""
"36589","","Maytenus guyanensis","1","ha",NA,""
"36590","","Maytenus guyanensis","Migmatite","",NA,""
"36591","","Maytenus guyanensis","257","",NA,""
"36592","","Maytenus guyanensis","88","",NA,""
"36593","","Maytenus guyanensis","73","",NA,""
"36594","","Maytenus guyanensis","395","",NA,""
"36595","","Maytenus guyanensis","322","",NA,""
"36596","","Maytenus guyanensis","203","",NA,""
"36597","","Maytenus guyanensis","119","",NA,""
"36598","","Maytenus guyanensis","256","",NA,""
"36599","","Maytenus guyanensis","0","",NA,""
"36600","","Maytenus guyanensis","262","",NA,""
"36601","","Maytenus guyanensis","252","",NA,""
"36602","","Maytenus guyanensis","548","mm",NA,""
"36603","","Maytenus guyanensis","88","mm",NA,""
"36604","","Maytenus guyanensis","47","mm",NA,""
"36605","","Maytenus guyanensis","1360","mm",NA,""
"36606","","Maytenus guyanensis","330","mm",NA,""
"36607","","Maytenus guyanensis","353","mm",NA,""
"36608","","Maytenus guyanensis","1123","mm",NA,""
"36609","","Maytenus guyanensis","8/22/12 8:32","",NA,""
"36610","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36611","","Maytenus guyanensis","Evergreen lowland tropical forest on a terra firme plateau bluff above Mataroni Creek near the  ...","",NA,""
"36612","","Maytenus guyanensis","C Baraloto with J Engel, J Chave, CET Paine","",NA,""
"36613","","Maytenus guyanensis","617","",NA,""
"36614","","Maytenus guyanensis","224","",NA,""
"36615","","Maytenus guyanensis","Celastraceae","",NA,""
"36616","","Maytenus guyanensis","LV109398","",NA,""
"36617","","Maytenus guyanensis","4","",NA,""
"36618","","Maytenus guyanensis","OK","",NA,""
"36619","","Maytenus guyanensis","A","",NA,""
"36620","","Maytenus guyanensis","2","",NA,""
"36621","","Maytenus guyanensis","0","",NA,""
"36622","","Maytenus guyanensis","0","",NA,""
"36623","Leaf chlorophyll content per leaf area","Maytenus guyanensis","59.8","mg/m2",0.0598,"g m-2"
"36624","Leaf texture (sclerophylly, physical strength)","Maytenus guyanensis","1.5","N",NA,""
"36625","","Maytenus guyanensis","Chris Baraloto","",NA,""
"36626","Leaf area per leaf dry mass (specific leaf area, SLA)","Maytenus guyanensis","8.742050209","mm2ámg-1",8.742050209,"mm2 mg-1"
"36627","","Maytenus guyanensis","LV1","",NA,""
"36628","","Maytenus guyanensis","155.7","m",NA,""
"36629","","Maytenus guyanensis","22.4","m",NA,""
"36630","","Maytenus guyanensis","931","",NA,""
"36631","","Maytenus guyanensis","Liesner","",NA,""
"36632","","Maytenus guyanensis","Sterile","",NA,""
"36633","","Maytenus guyanensis","CAY","",NA,""
"36634","","Maytenus guyanensis","40219.54598","",NA,""
"36635","","Maytenus guyanensis","JE","",NA,""
"36636","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36637","","Maytenus guyanensis","4.15093","",4.15093,""
"36638","","Maytenus guyanensis","-52.2036","",-52.2036,""
"36639","","Maytenus guyanensis","187","m",187,"m"
"36640","","Maytenus guyanensis","3850","mm",NA,""
"36641","","Maytenus guyanensis","1","ha",NA,""
"36642","","Maytenus guyanensis","Migmatite","",NA,""
"36643","","Maytenus guyanensis","257","",NA,""
"36644","","Maytenus guyanensis","88","",NA,""
"36645","","Maytenus guyanensis","73","",NA,""
"36646","","Maytenus guyanensis","395","",NA,""
"36647","","Maytenus guyanensis","322","",NA,""
"36648","","Maytenus guyanensis","203","",NA,""
"36649","","Maytenus guyanensis","119","",NA,""
"36650","","Maytenus guyanensis","256","",NA,""
"36651","","Maytenus guyanensis","0","",NA,""
"36652","","Maytenus guyanensis","262","",NA,""
"36653","","Maytenus guyanensis","252","",NA,""
"36654","","Maytenus guyanensis","548","mm",NA,""
"36655","","Maytenus guyanensis","88","mm",NA,""
"36656","","Maytenus guyanensis","47","mm",NA,""
"36657","","Maytenus guyanensis","1360","mm",NA,""
"36658","","Maytenus guyanensis","330","mm",NA,""
"36659","","Maytenus guyanensis","353","mm",NA,""
"36660","","Maytenus guyanensis","1123","mm",NA,""
"36661","","Maytenus guyanensis","8/22/12 8:32","",NA,""
"36662","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36663","","Maytenus guyanensis","Evergreen lowland tropical forest on a terra firme plateau bluff above Mataroni Creek near the  ...","",NA,""
"36664","","Maytenus guyanensis","C Baraloto with J Engel, J Chave, CET Paine","",NA,""
"36665","","Maytenus guyanensis","617","",NA,""
"36666","","Maytenus guyanensis","224","",NA,""
"36667","","Maytenus guyanensis","Celastraceae","",NA,""
"36668","","Maytenus guyanensis","LV109398","",NA,""
"36669","","Maytenus guyanensis","4","",NA,""
"36670","","Maytenus guyanensis","OK","",NA,""
"36671","","Maytenus guyanensis","B","",NA,""
"36672","","Maytenus guyanensis","2","",NA,""
"36673","","Maytenus guyanensis","1","",NA,""
"36674","","Maytenus guyanensis","1","",NA,""
"36675","Leaf chlorophyll content per leaf area","Maytenus guyanensis","60.2","mg/m2",0.0602,"g m-2"
"36676","Leaf texture (sclerophylly, physical strength)","Maytenus guyanensis","1.13","N",NA,""
"36677","","Maytenus guyanensis","Chris Baraloto","",NA,""
"36678","Leaf area per leaf dry mass (specific leaf area, SLA)","Maytenus guyanensis","9.335708502","mm2ámg-1",9.335708502,"mm2 mg-1"
"36679","","Maytenus guyanensis","LV1","",NA,""
"36680","","Maytenus guyanensis","155.7","m",NA,""
"36681","","Maytenus guyanensis","22.4","m",NA,""
"36682","","Maytenus guyanensis","931","",NA,""
"36683","","Maytenus guyanensis","Liesner","",NA,""
"36684","","Maytenus guyanensis","Sterile","",NA,""
"36685","","Maytenus guyanensis","CAY","",NA,""
"36686","","Maytenus guyanensis","40219.54598","",NA,""
"36687","","Maytenus guyanensis","JE","",NA,""
"36688","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36689","","Maytenus guyanensis","4.15093","",4.15093,""
"36690","","Maytenus guyanensis","-52.2036","",-52.2036,""
"36691","","Maytenus guyanensis","187","m",187,"m"
"36692","","Maytenus guyanensis","3850","mm",NA,""
"36693","","Maytenus guyanensis","1","ha",NA,""
"36694","","Maytenus guyanensis","Migmatite","",NA,""
"36695","","Maytenus guyanensis","257","",NA,""
"36696","","Maytenus guyanensis","88","",NA,""
"36697","","Maytenus guyanensis","73","",NA,""
"36698","","Maytenus guyanensis","395","",NA,""
"36699","","Maytenus guyanensis","322","",NA,""
"36700","","Maytenus guyanensis","203","",NA,""
"36701","","Maytenus guyanensis","119","",NA,""
"36702","","Maytenus guyanensis","256","",NA,""
"36703","","Maytenus guyanensis","0","",NA,""
"36704","","Maytenus guyanensis","262","",NA,""
"36705","","Maytenus guyanensis","252","",NA,""
"36706","","Maytenus guyanensis","548","mm",NA,""
"36707","","Maytenus guyanensis","88","mm",NA,""
"36708","","Maytenus guyanensis","47","mm",NA,""
"36709","","Maytenus guyanensis","1360","mm",NA,""
"36710","","Maytenus guyanensis","330","mm",NA,""
"36711","","Maytenus guyanensis","353","mm",NA,""
"36712","","Maytenus guyanensis","1123","mm",NA,""
"36713","","Maytenus guyanensis","8/22/12 8:32","",NA,""
"36714","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36715","","Maytenus guyanensis","Evergreen lowland tropical forest on a terra firme plateau bluff above Mataroni Creek near the  ...","",NA,""
"36716","","Maytenus guyanensis","C Baraloto with J Engel, J Chave, CET Paine","",NA,""
"36717","","Maytenus guyanensis","617","",NA,""
"36718","","Maytenus guyanensis","224","",NA,""
"36719","","Maytenus guyanensis","Celastraceae","",NA,""
"36720","","Maytenus guyanensis","LV109398","",NA,""
"36721","","Maytenus guyanensis","4","",NA,""
"36722","","Maytenus guyanensis","OK","",NA,""
"36723","","Maytenus guyanensis","C","",NA,""
"36724","","Maytenus guyanensis","2","",NA,""
"36725","","Maytenus guyanensis","1","",NA,""
"36726","","Maytenus guyanensis","0","",NA,""
"36727","Leaf chlorophyll content per leaf area","Maytenus guyanensis","60.6","mg/m2",0.0606,"g m-2"
"36728","Leaf texture (sclerophylly, physical strength)","Maytenus guyanensis","1.15","N",NA,""
"36729","","Maytenus guyanensis","Chris Baraloto","",NA,""
"36730","Leaf area per leaf dry mass (specific leaf area, SLA)","Maytenus guyanensis","9.664","mm2ámg-1",9.664,"mm2 mg-1"
"36731","","Maytenus guyanensis","LV1","",NA,""
"36732","","Maytenus guyanensis","155.7","m",NA,""
"36733","","Maytenus guyanensis","22.4","m",NA,""
"36734","","Maytenus guyanensis","931","",NA,""
"36735","","Maytenus guyanensis","Liesner","",NA,""
"36736","","Maytenus guyanensis","Sterile","",NA,""
"36737","","Maytenus guyanensis","CAY","",NA,""
"36738","","Maytenus guyanensis","40219.54598","",NA,""
"36739","","Maytenus guyanensis","JE","",NA,""
"36740","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36741","","Maytenus guyanensis","4.15093","",4.15093,""
"36742","","Maytenus guyanensis","-52.2036","",-52.2036,""
"36743","","Maytenus guyanensis","187","m",187,"m"
"36744","","Maytenus guyanensis","3850","mm",NA,""
"36745","","Maytenus guyanensis","1","ha",NA,""
"36746","","Maytenus guyanensis","Migmatite","",NA,""
"36747","","Maytenus guyanensis","257","",NA,""
"36748","","Maytenus guyanensis","88","",NA,""
"36749","","Maytenus guyanensis","73","",NA,""
"36750","","Maytenus guyanensis","395","",NA,""
"36751","","Maytenus guyanensis","322","",NA,""
"36752","","Maytenus guyanensis","203","",NA,""
"36753","","Maytenus guyanensis","119","",NA,""
"36754","","Maytenus guyanensis","256","",NA,""
"36755","","Maytenus guyanensis","0","",NA,""
"36756","","Maytenus guyanensis","262","",NA,""
"36757","","Maytenus guyanensis","252","",NA,""
"36758","","Maytenus guyanensis","548","mm",NA,""
"36759","","Maytenus guyanensis","88","mm",NA,""
"36760","","Maytenus guyanensis","47","mm",NA,""
"36761","","Maytenus guyanensis","1360","mm",NA,""
"36762","","Maytenus guyanensis","330","mm",NA,""
"36763","","Maytenus guyanensis","353","mm",NA,""
"36764","","Maytenus guyanensis","1123","mm",NA,""
"36765","","Maytenus guyanensis","8/22/12 8:32","",NA,""
"36766","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36767","","Maytenus guyanensis","Evergreen lowland tropical forest on a terra firme plateau bluff above Mataroni Creek near the  ...","",NA,""
"36768","","Maytenus guyanensis","C Baraloto with J Engel, J Chave, CET Paine","",NA,""
"36769","","Maytenus guyanensis","617","",NA,""
"36770","","Maytenus guyanensis","224","",NA,""
"36771","","Maytenus guyanensis","Celastraceae","",NA,""
"36772","","Maytenus guyanensis","LV112770","",NA,""
"36773","","Maytenus guyanensis","4","",NA,""
"36774","","Maytenus guyanensis","OK","",NA,""
"36775","","Maytenus guyanensis","A","",NA,""
"36776","","Maytenus guyanensis","1","",NA,""
"36777","","Maytenus guyanensis","1","",NA,""
"36778","","Maytenus guyanensis","1","",NA,""
"36779","Leaf chlorophyll content per leaf area","Maytenus guyanensis","48.9","mg/m2",0.0489,"g m-2"
"36780","Leaf texture (sclerophylly, physical strength)","Maytenus guyanensis","1.21","N",NA,""
"36781","","Maytenus guyanensis","Claire Suchet","",NA,""
"36782","Leaf area per leaf dry mass (specific leaf area, SLA)","Maytenus guyanensis","12.42790503","mm2ámg-1",12.42790503,"mm2 mg-1"
"36783","","Maytenus guyanensis","LV1","",NA,""
"36784","","Maytenus guyanensis","151.8","m",NA,""
"36785","","Maytenus guyanensis","22","m",NA,""
"36786","","Maytenus guyanensis","931","",NA,""
"36787","","Maytenus guyanensis","Liesner","",NA,""
"36788","","Maytenus guyanensis","Sterile","",NA,""
"36789","","Maytenus guyanensis","CAY","",NA,""
"36790","","Maytenus guyanensis","40219.54598","",NA,""
"36791","","Maytenus guyanensis","JE","",NA,""
"36792","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36793","","Maytenus guyanensis","4.15093","",4.15093,""
"36794","","Maytenus guyanensis","-52.2036","",-52.2036,""
"36795","","Maytenus guyanensis","187","m",187,"m"
"36796","","Maytenus guyanensis","3850","mm",NA,""
"36797","","Maytenus guyanensis","1","ha",NA,""
"36798","","Maytenus guyanensis","Migmatite","",NA,""
"36799","","Maytenus guyanensis","257","",NA,""
"36800","","Maytenus guyanensis","88","",NA,""
"36801","","Maytenus guyanensis","73","",NA,""
"36802","","Maytenus guyanensis","395","",NA,""
"36803","","Maytenus guyanensis","322","",NA,""
"36804","","Maytenus guyanensis","203","",NA,""
"36805","","Maytenus guyanensis","119","",NA,""
"36806","","Maytenus guyanensis","256","",NA,""
"36807","","Maytenus guyanensis","0","",NA,""
"36808","","Maytenus guyanensis","262","",NA,""
"36809","","Maytenus guyanensis","252","",NA,""
"36810","","Maytenus guyanensis","548","mm",NA,""
"36811","","Maytenus guyanensis","88","mm",NA,""
"36812","","Maytenus guyanensis","47","mm",NA,""
"36813","","Maytenus guyanensis","1360","mm",NA,""
"36814","","Maytenus guyanensis","330","mm",NA,""
"36815","","Maytenus guyanensis","353","mm",NA,""
"36816","","Maytenus guyanensis","1123","mm",NA,""
"36817","","Maytenus guyanensis","8/22/12 8:32","",NA,""
"36818","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36819","","Maytenus guyanensis","Evergreen lowland tropical forest on a terra firme plateau bluff above Mataroni Creek near the  ...","",NA,""
"36820","","Maytenus guyanensis","C Baraloto with J Engel, J Chave, CET Paine","",NA,""
"36821","","Maytenus guyanensis","617","",NA,""
"36822","","Maytenus guyanensis","224","",NA,""
"36823","","Maytenus guyanensis","Celastraceae","",NA,""
"36824","","Maytenus guyanensis","LV112770","",NA,""
"36825","","Maytenus guyanensis","4","",NA,""
"36826","","Maytenus guyanensis","OK","",NA,""
"36827","","Maytenus guyanensis","B","",NA,""
"36828","","Maytenus guyanensis","0","",NA,""
"36829","","Maytenus guyanensis","1","",NA,""
"36830","","Maytenus guyanensis","0","",NA,""
"36831","Leaf chlorophyll content per leaf area","Maytenus guyanensis","27.3","mg/m2",0.0273,"g m-2"
"36832","Leaf texture (sclerophylly, physical strength)","Maytenus guyanensis","1.28","N",NA,""
"36833","","Maytenus guyanensis","Claire Suchet","",NA,""
"36834","Leaf area per leaf dry mass (specific leaf area, SLA)","Maytenus guyanensis","14.14467866","mm2ámg-1",14.14467866,"mm2 mg-1"
"36835","","Maytenus guyanensis","LV1","",NA,""
"36836","","Maytenus guyanensis","151.8","m",NA,""
"36837","","Maytenus guyanensis","22","m",NA,""
"36838","","Maytenus guyanensis","931","",NA,""
"36839","","Maytenus guyanensis","Liesner","",NA,""
"36840","","Maytenus guyanensis","Sterile","",NA,""
"36841","","Maytenus guyanensis","CAY","",NA,""
"36842","","Maytenus guyanensis","40219.54598","",NA,""
"36843","","Maytenus guyanensis","JE","",NA,""
"36844","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36845","","Maytenus guyanensis","4.15093","",4.15093,""
"36846","","Maytenus guyanensis","-52.2036","",-52.2036,""
"36847","","Maytenus guyanensis","187","m",187,"m"
"36848","","Maytenus guyanensis","3850","mm",NA,""
"36849","","Maytenus guyanensis","1","ha",NA,""
"36850","","Maytenus guyanensis","Migmatite","",NA,""
"36851","","Maytenus guyanensis","257","",NA,""
"36852","","Maytenus guyanensis","88","",NA,""
"36853","","Maytenus guyanensis","73","",NA,""
"36854","","Maytenus guyanensis","395","",NA,""
"36855","","Maytenus guyanensis","322","",NA,""
"36856","","Maytenus guyanensis","203","",NA,""
"36857","","Maytenus guyanensis","119","",NA,""
"36858","","Maytenus guyanensis","256","",NA,""
"36859","","Maytenus guyanensis","0","",NA,""
"36860","","Maytenus guyanensis","262","",NA,""
"36861","","Maytenus guyanensis","252","",NA,""
"36862","","Maytenus guyanensis","548","mm",NA,""
"36863","","Maytenus guyanensis","88","mm",NA,""
"36864","","Maytenus guyanensis","47","mm",NA,""
"36865","","Maytenus guyanensis","1360","mm",NA,""
"36866","","Maytenus guyanensis","330","mm",NA,""
"36867","","Maytenus guyanensis","353","mm",NA,""
"36868","","Maytenus guyanensis","1123","mm",NA,""
"36869","","Maytenus guyanensis","8/22/12 8:32","",NA,""
"36870","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36871","","Maytenus guyanensis","Evergreen lowland tropical forest on a terra firme plateau bluff above Mataroni Creek near the  ...","",NA,""
"36872","","Maytenus guyanensis","C Baraloto with J Engel, J Chave, CET Paine","",NA,""
"36873","","Maytenus guyanensis","617","",NA,""
"36874","","Maytenus guyanensis","224","",NA,""
"36875","","Maytenus guyanensis","Celastraceae","",NA,""
"36876","","Maytenus guyanensis","LV112770","",NA,""
"36877","","Maytenus guyanensis","4","",NA,""
"36878","","Maytenus guyanensis","OK","",NA,""
"36879","","Maytenus guyanensis","C","",NA,""
"36880","","Maytenus guyanensis","1","",NA,""
"36881","","Maytenus guyanensis","1","",NA,""
"36882","","Maytenus guyanensis","1","",NA,""
"36883","Leaf chlorophyll content per leaf area","Maytenus guyanensis","55","mg/m2",0.055,"g m-2"
"36884","Leaf texture (sclerophylly, physical strength)","Maytenus guyanensis","1.27","N",NA,""
"36885","","Maytenus guyanensis","Claire Suchet","",NA,""
"36886","Leaf area per leaf dry mass (specific leaf area, SLA)","Maytenus guyanensis","8.838891821","mm2ámg-1",8.838891821,"mm2 mg-1"
"36887","","Maytenus guyanensis","LV1","",NA,""
"36888","","Maytenus guyanensis","151.8","m",NA,""
"36889","","Maytenus guyanensis","22","m",NA,""
"36890","","Maytenus guyanensis","931","",NA,""
"36891","","Maytenus guyanensis","Liesner","",NA,""
"36892","","Maytenus guyanensis","Sterile","",NA,""
"36893","","Maytenus guyanensis","CAY","",NA,""
"36894","","Maytenus guyanensis","40219.54598","",NA,""
"36895","","Maytenus guyanensis","JE","",NA,""
"36896","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36897","","Maytenus guyanensis","4.15093","",4.15093,""
"36898","","Maytenus guyanensis","-52.2036","",-52.2036,""
"36899","","Maytenus guyanensis","187","m",187,"m"
"36900","","Maytenus guyanensis","3850","mm",NA,""
"36901","","Maytenus guyanensis","1","ha",NA,""
"36902","","Maytenus guyanensis","Migmatite","",NA,""
"36903","","Maytenus guyanensis","257","",NA,""
"36904","","Maytenus guyanensis","88","",NA,""
"36905","","Maytenus guyanensis","73","",NA,""
"36906","","Maytenus guyanensis","395","",NA,""
"36907","","Maytenus guyanensis","322","",NA,""
"36908","","Maytenus guyanensis","203","",NA,""
"36909","","Maytenus guyanensis","119","",NA,""
"36910","","Maytenus guyanensis","256","",NA,""
"36911","","Maytenus guyanensis","0","",NA,""
"36912","","Maytenus guyanensis","262","",NA,""
"36913","","Maytenus guyanensis","252","",NA,""
"36914","","Maytenus guyanensis","548","mm",NA,""
"36915","","Maytenus guyanensis","88","mm",NA,""
"36916","","Maytenus guyanensis","47","mm",NA,""
"36917","","Maytenus guyanensis","1360","mm",NA,""
"36918","","Maytenus guyanensis","330","mm",NA,""
"36919","","Maytenus guyanensis","353","mm",NA,""
"36920","","Maytenus guyanensis","1123","mm",NA,""
"36921","","Maytenus guyanensis","8/22/12 8:32","",NA,""
"36922","","Maytenus guyanensis","Saut Lavilette","",NA,""
"36923","","Maytenus guyanensis","Evergreen lowland tropical forest on a terra firme plateau bluff above Mataroni Creek near the  ...","",NA,""
"36924","","Maytenus guyanensis","C Baraloto with J Engel, J Chave, CET Paine","",NA,""
"36925","","Maytenus guyanensis","617","",NA,""
"36926","","Maytenus guyanensis","224","",NA,""
"36927","","Platymiscium pinnatum","Fabaceae","",NA,""
"36928","","Platymiscium pinnatum","NL110181","",NA,""
"36929","","Platymiscium pinnatum","5","",NA,""
"36930","","Platymiscium pinnatum","OK","",NA,""
"36931","","Platymiscium pinnatum","A","",NA,""
"36932","","Platymiscium pinnatum","2","",NA,""
"36933","","Platymiscium pinnatum","1","",NA,""
"36934","","Platymiscium pinnatum","0","",NA,""
"36935","Leaf chlorophyll content per leaf area","Platymiscium pinnatum","49.4","mg/m2",0.0494,"g m-2"
"36936","Leaf texture (sclerophylly, physical strength)","Platymiscium pinnatum","1.75","N",NA,""
"36937","","Platymiscium pinnatum","Darrin Penneys","",NA,""
"36938","","Platymiscium pinnatum","NL11","",NA,""
"36939","","Platymiscium pinnatum","122","m",NA,""
"36940","","Platymiscium pinnatum","100","m",NA,""
"36941","","Platymiscium pinnatum","470","",NA,""
"36942","","Platymiscium pinnatum","Prevost","",NA,""
"36943","","Platymiscium pinnatum","Sterile","",NA,""
"36944","","Platymiscium pinnatum","KOU","",NA,""
"36945","","Platymiscium pinnatum","40219.56046","",NA,""
"36946","","Platymiscium pinnatum","Nouragues","",NA,""
"36947","","Platymiscium pinnatum","4.08333","",4.08333,""
"36948","","Platymiscium pinnatum","-52.6833","",-52.6833,""
"36949","","Platymiscium pinnatum","27","m",27,"m"
"36950","","Platymiscium pinnatum","3500","mm",NA,""
"36951","","Platymiscium pinnatum","1","ha",NA,""
"36952","","Platymiscium pinnatum","Granite","",NA,""
"36953","","Platymiscium pinnatum","252","",NA,""
"36954","","Platymiscium pinnatum","88","",NA,""
"36955","","Platymiscium pinnatum","74","",NA,""
"36956","","Platymiscium pinnatum","444","",NA,""
"36957","","Platymiscium pinnatum","317","",NA,""
"36958","","Platymiscium pinnatum","199","",NA,""
"36959","","Platymiscium pinnatum","118","",NA,""
"36960","","Platymiscium pinnatum","251","",NA,""
"36961","","Platymiscium pinnatum","0","",NA,""
"36962","","Platymiscium pinnatum","257","",NA,""
"36963","","Platymiscium pinnatum","246","",NA,""
"36964","","Platymiscium pinnatum","500","mm",NA,""
"36965","","Platymiscium pinnatum","76","mm",NA,""
"36966","","Platymiscium pinnatum","48","mm",NA,""
"36967","","Platymiscium pinnatum","1235","mm",NA,""
"36968","","Platymiscium pinnatum","298","mm",NA,""
"36969","","Platymiscium pinnatum","324","mm",NA,""
"36970","","Platymiscium pinnatum","1056","mm",NA,""
"36971","","Platymiscium pinnatum","12/1/11 8:31","",NA,""
"36972","","Platymiscium pinnatum","Nouragues-11L","",NA,""
"36973","","Platymiscium pinnatum","Evergreen lowland tropical forest on a terra firme plateau (grand plateau) on granite substrate ...","",NA,""
"36974","","Platymiscium pinnatum","C Baraloto with J Engel, J Chave, B Riera","",NA,""
"36975","","Platymiscium pinnatum","537","",NA,""
"36976","","Platymiscium pinnatum","188","",NA,""
"36977","","Platymiscium pinnatum","Fabaceae","",NA,""
"36978","","Platymiscium pinnatum","NL110181","",NA,""
"36979","","Platymiscium pinnatum","5","",NA,""
"36980","","Platymiscium pinnatum","OK","",NA,""
"36981","","Platymiscium pinnatum","B","",NA,""
"36982","","Platymiscium pinnatum","2","",NA,""
"36983","","Platymiscium pinnatum","1","",NA,""
"36984","","Platymiscium pinnatum","0","",NA,""
"36985","Leaf chlorophyll content per leaf area","Platymiscium pinnatum","59.7","mg/m2",0.0597,"g m-2"
"36986","Leaf texture (sclerophylly, physical strength)","Platymiscium pinnatum","1.5","N",NA,""
"36987","","Platymiscium pinnatum","Darrin Penneys","",NA,""
"36988","","Platymiscium pinnatum","NL11","",NA,""
"36989","","Platymiscium pinnatum","122","m",NA,""
"36990","","Platymiscium pinnatum","100","m",NA,""
"36991","","Platymiscium pinnatum","470","",NA,""
"36992","","Platymiscium pinnatum","Prevost","",NA,""
"36993","","Platymiscium pinnatum","Sterile","",NA,""
"36994","","Platymiscium pinnatum","KOU","",NA,""
"36995","","Platymiscium pinnatum","40219.56046","",NA,""
"36996","","Platymiscium pinnatum","Nouragues","",NA,""
"36997","","Platymiscium pinnatum","4.08333","",4.08333,""
"36998","","Platymiscium pinnatum","-52.6833","",-52.6833,""
"36999","","Platymiscium pinnatum","27","m",27,"m"
"37000","","Platymiscium pinnatum","3500","mm",NA,""
"37001","","Platymiscium pinnatum","1","ha",NA,""
"37002","","Platymiscium pinnatum","Granite","",NA,""
"37003","","Platymiscium pinnatum","252","",NA,""
"37004","","Platymiscium pinnatum","88","",NA,""
"37005","","Platymiscium pinnatum","74","",NA,""
"37006","","Platymiscium pinnatum","444","",NA,""
"37007","","Platymiscium pinnatum","317","",NA,""
"37008","","Platymiscium pinnatum","199","",NA,""
"37009","","Platymiscium pinnatum","118","",NA,""
"37010","","Platymiscium pinnatum","251","",NA,""
"37011","","Platymiscium pinnatum","0","",NA,""
"37012","","Platymiscium pinnatum","257","",NA,""
"37013","","Platymiscium pinnatum","246","",NA,""
"37014","","Platymiscium pinnatum","500","mm",NA,""
"37015","","Platymiscium pinnatum","76","mm",NA,""
"37016","","Platymiscium pinnatum","48","mm",NA,""
"37017","","Platymiscium pinnatum","1235","mm",NA,""
"37018","","Platymiscium pinnatum","298","mm",NA,""
